Library Name;License;Free;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Interactivity;Rendering Technologies;Rendering Technologies;Rendering Technologies;Databinding;HTML 5 Canvas
JenScript;BSD-3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;Yes;
jqPlot;MIT or GPLv2;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;No;No;;
jqxChart;Proprietary;Free with a link or commercial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;;
JSCharting;Proprietary;Free with branding;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;;
KoolChart;Proprietary;Free with a link or commercial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
LightningChart JS;Proprietary;Free for personal and non-commercial uses. Paid for commercial applications.;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;;Yes;Yes
MetricsGraphics;Mozilla Public License Version 2.0;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;;Yes;No;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;
MuzeJS;MIT;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;;;
NextCharts;Apache 2.0;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;Yes;
NVD3;Apache 2.0;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;;
