Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s);Thrust (N);Mass (kg);Thrust:weight ratio;Chamber pressure (bar);Oxidiser:fuel ratio
RD-0120 11Д122;Soviet Union;KBKhA;Energia;1st;LH / LOX;455;1,962,000 1,526,000 (SL);3,450;57.80;219;
RD-56 (KVD-1) 11Д56У;Russia;KBKhM;GSLV Mk I;Upper;LH / LOX;462;69,626;282;25.17;55.9;
RD-117 11Д511;Soviet Union;NPO Energomash;Soyuz-U;1st;RP-1 / LOX;316 253 (SL);978,000 778,648 (SL);1,100;72.18;54.2;
RD-118 11Д512;Soviet Union;NPO Energomash;Soyuz-U;2nd;RP-1 / LOX;314 257 (SL);1,000,278 818,855 (SL);1,100;75.91;59.7;
RD-17011Д521;Soviet Union;NPO Energomash;Soyuz-U;1st;RP-1 / LOX;337.2 309.5 (SL);7,904,160 7,256,921 (SL);9,300;79.57;250;
RD-264 11Д119;Soviet Union;NPO Energomash;Dnepr;1st;NO / UDMH;318 293 (SL);4,521,000;3,600;128.15;206
RD-275 14Д14;Russia;NPO Energomash;Proton-M;1st;NO / UDMH;316 287 (SL);1,831,882 1,671,053 (SL);1,070;171.2;160.0;
RD-854 8D612;Soviet Union;Pivdenne/Pivdenmash;R-36ORB;3rd;NO / UDMH;;;;;
RD-855 8D68M;Soviet Union;Pivdenne/Pivdenmash;R-36, Tsyklon-2, Tsyklon-3;1st vernier;NO / UDMH;;328,000;320;;65.70;1.97
RD-856 8D69M;Soviet Union;Pivdenne/Pivdenmash;R-36, Tsyklon-2, Tsyklon-3, (Tsyklon-4);2nd vernier;NO / UDMH;;54,230;112.5;;71.60;1.98
RD-861 11D25;Soviet Union;Pivdenne/Pivdenmash;Tsyklon-2, Tsyklon-3;3rd;NO / UDMH;;78,710;123;;88.8;2.1
RD-864 15D177;Soviet Union;Pivdenne/Pivdenmash;R-36 (missile), Dnipro;3rd;NO / UDMH;309 high, 298 low;20,200 high, 8,450 low;199;;41 high/17 low;1.8
RD-869 15D300;Soviet Union;Pivdenne/Pivdenmash;R-36M;3rd;NO / UDMH;313 high, 302.3 low;20,470 high, 8,580 low;196;;41 high/17 low;1.8
Space Shuttle Solid Rocket Booster;USA;Thiokol;Space Shuttle Ares I;Booster;PBAN / APCP;268;14,000,000 12,500,000 (SL);590,000 with fuel;;;
SRB-A;Japan;IHI Aerospace JAXA;H-IIA;Booster;HTPB;280;2,250,000;76,400 with fuel;;;
UA1207;USA;United Technologies;Titan IV;Booster;PBAN;272 245 (SL);7,116,000 6,410,400 (SL);319,330 with fuel;;;
Viking 2;Europe;Snecma;Ariane 1;1st;NO / UDMH;;690,000 611,200 (SL);776;90.67;;
Viking 2B;Europe;Snecma;Ariane 2 Ariane 3;1st;NO / UH 25;;643,000 (SL);776;84.5;;
Viking 4;Europe;Snecma;Ariane 1;2nd;NO / UDMH;;713,000;826;88;;
Viking 4B;Europe;Snecma;Ariane 2 Ariane 3 Ariane 4;2nd;NO / UH 25;;800,000;826;98.76;;
Viking 5C;Europe;Snecma;Ariane 4;1st;NO / UH 25;;758,000 678,000 (SL);826;93.57;;
Viking 6;Europe;Snecma;Ariane 4;Booster;NO / UH 25;;750,000;826;92.59;;
Vulcain HM-60;Europe;Snecma;Ariane 5;1st;LH / LOX;439 326 (SL);1,113,000 773,200 (SL);1,300;84.38;109;
Waxwing;United Kingdom;Bristol Aerojet;Black Arrow;Upper;Solid;278 245 (SL);29,400 25,900 (SL);87;34.48;;
