Distribution;x86;x86-64;arm;ia64;ppc;ppc64;sparc32;sparc64;hppa;loongson;mips;sh;s390;s390x;alpha;m68k;riscv
Oracle Linux;Yes;Yes;No;Discontinued 5;No;No;No;No;No;No;No;No;No;No;No;No;No
Parabola GNU/Linux-libre;Yes;Yes;Yes, ARMv7;No;No;Test release;No;No;No;Discontinued;Discontinued;No;No;No;No;No;Test release
Red Flag Linux;Discontinued 8.0;Discontinued 8.0;No;Discontinued 3;No;Discontinued 3;No;No;No;No;No;No;No;No;No;No;No
Red Hat Linux;Discontinued 9.0;No;No;Discontinued 7.1-7.2;Test release 5.1;No;Discontinued 4.0-4.2 5.1-6.2;Test release 5.1;No;No;Test release 5.1;No;Discontinued 7.2;Yes;Discontinued 2.1-7.1;Test release 5.1;No
Red Hat Enterprise Linux;Discontinued 2.1-6;Yes 3+;Yes;Discontinued 2.1-5;Yes 3+;Yes 3+;No;No;No;No;No;No;Discontinued 3-4;Yes 3+;No;No;No
Sabayon Linux;Discontinued;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Scientific Linux;Yes;Yes;No;Discontinued 3-4;No;No;No;No;No;No;No;No;No;No;No;No;No
SHR;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Slackware;Yes;Yes;Yes;No;No;No;Discontinued ?;No;No;No;No;No;Discontinued ?;Discontinued ?;Discontinued 8.1;No;No
Solus;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Source Mage GNU/Linux;Yes;Yes;No;No;Yes;No;No;No;No;?;No;No;No;No;No;No;No
SUSE Linux Enterprise Server;Yes;Yes;AArch64 only;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No
Trisquel GNU/Linux;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
TurnKey GNU/Linux;Selected ISOs available;Yes;No - but under development by community;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Ubuntu/Kubuntu/Xubuntu/Lubuntu;Discontinued from Ubuntu 20.04;Yes;Yes, including 64-bit ARMv8-A;No;Yes;Yes;No;No;No;No;No;No;No;Ubuntu only, 16.04+;No;No;No
Ututo;Yes;Yes;No;No;No;No;No;No;No;In progress;No;No;No;No;No;No;No
Void Linux;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
XBMCbuntu;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Yellow Dog Linux;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
Distribution;x86;x86-64;arm;ia64;ppc;ppc64;sparc32;sparc64;hppa;loongson;mips;sh;s390;s390x;alpha;m68k;riscv
