 Driver family ; Driver ; Chipsets ; Chipset PHY Modes ; Integration in mainline ; Non-free firmware required'On Device' means firmware is stored in device at all times ; License ; Development 
 ath ; carl9170 ; Qualcomm Atheros AR9170 (802.11n USB) ; a/b/g/n ; Yes (since 3.0) ; No ; GPL ; Qualcomm Atheros-supported 
 ath ; wil6210 ; Wilocity wil6210, 802.11ad 60GHz ; dunno ; Yes ; Yes ; ISC ; Written by Qualcomm Atheros 
 atmel ; atmel ; Atmel at76c502 at76c504 and at76c506 wireless cards ; dunno ; Yes ; No ; GPLv2+ ; Reverse-engineered 
 b43 ; b43 ; Some Broadcom 43xx ; dunno ; Yes (since 2.6.24) ; Experimental OSS firmwareSee openfwwf project for open-source firmware. This firmware lacks support for QoS and hardware cryptography. ; GPL ; Reverse-engineered 
 b43legacy ; b43legacy ; Broadcom 4301, 4303, and 4306 revisions 1 and 2 ; dunno ; Yes (since 2.6.24) ; Experimental OSS firmware ; GPL ; Reverse-engineered 
 brcm80211 ; brcmfmac ; PCIe devices: Broadcom 4356, 43567, 43570, 4358, 4359, 43602, 4365, 4366  SDIO devices: Broadcom 4329, 4330, 4334, 43340, 43341, 43241, 4335, 4339, 43362, 43430, 43455, 4354, 43143  USB devices: Broadcom 43235, 43236, 43238, 43143, 43242, 43566, 43569 ; a/b/g/n ; Yes (since 3.2) ; Yes ; ISC ; Written by Broadcom 
 brcm80211 ; brcmsmac ; Broadcom 4313, 43224, 43225 ; a/b/g/n ; Yes (since 3.2) ; Yes ; ISC ; Written by Broadcom 
 cw1200 ; cw1200 ; ST-Ericsson CW1100 & CW1200 WLAN chipsets ; dunno ; yes (since 3.11) Kernel Newbies 3.11 network driver documentation. ; Yes CW1200 Licence file at linux-firmware. ; GPLv2 ; ? 
 hostap ; HostAP ; Intersil PRISM-II, PRISM-2.5, PRISM 3 ; dunno ; Yes ; Depends on the model ; GPLv2 ; 
 ipw2x00 ; ipw2x00 ; Intel PRO/Wireless 2100 and 2200 Network Connection 802.11b ; dunno ; Yes ; Yes ; GPL ; Written by Intel 
 iwlegacy ; iwlegacy ;Intel Wireless WiFi 3945ABG, 4965AGN ; dunno ; Yes ; Yes ; GPL ; 
 iwlwifi ; iwlwifi ; Intel Wireless WiFi Next Gen AGN - Wireless-N/Advanced-N/Ultimate-N: 6250AGN, 6200AGN, 6300AGN 1000BGN, 5150AGN, 5100AGN, 5300AGN, 5350AGN, 6005, 6030, 6150BGN, 100BGN and 130BGN, 2000 ; a/b/g/n/ac/ax ; Yes ; Yes ; Dual GPL/BSD ; Written by Intel 
 libertas ; libertas ; Marvell 88W8686 SDIO Libertas 8388 (USB) 802.11b/g, 8385 (CompactFlash) 802.11b/g, 8385/8686/8688 (SDIO) 802.11b/g, 8686 (SPI) 802.11b/g 88W8388 ; dunno ; Yes ; Yes ; GPL ; Marvell-supported 
 libertas_tf ; libertastf ; Marvell 8388 (USB) WLAN Thinfirm Driver (OLPC) ; dunno ; Yes ; ; GPL ; cozybit, Marvell-supported 
 mt76 ; mt76 ; MediaTek MT76x0U, MT76x2U ; a/b/g/n/ac ; Yes (since 4.19Phoronix, Intel IWLWIFI Adding 802.11ax Support In Linux 4.19, 5 August 2018) ; Yes ; ISC ; With support from MediaTek 
 mt7601u ; mt7601u ; MediaTek MT7601U ; b/g/n ; Yes (since 4.2) ; Yes ; GPLv2 ;  
 mwifiex ; mwifiex ; WiFi-Ex Driver for Marvell SD8786/SD8787/SD8797 (SDIO), 8766/8897 (PCIe) and 88W8797 (USB) ; dunno ; Yes ; Yes ; GPLv2 ; Written by Marvell 
 mwl8k ; mwl8k ; Marvell TOPDOG 802.11 Wireless cards: 88W8366, 88W8863, 88W8687, 88W8764 ; dunno ; Yes ; Yes ; GPLv2 ; Written by Marvell 
 orinoco ; orinoco ; Lucent Hermes (WaveLAN/ ORiNOCO), Intersil PRISM-II, PRISM-2.5, Symbol Spectrum24 802.11B ; dunno ; Yes ; Required for WPA support ; ; 
prism54-p54 ; p54 ; Prism54: Intersil/Conexant ISL3877, ISL3880, ISL3886, ISL3887, ISL3890 ; dunno ; Yes (~Aug 2007) ; Experimental OSS firmwareThere is a Free software firmware called FreeMAC , but it's not yet ready for non developers use ; ; 
prism54-p54 ; prism54 ; Prism54: Intersil/Conexant ISL3877, ISL3880, ISL3886, ISL3887, ISL3890 ; dunno ; Yes (before 2.6.12) ; Experimental OSS firmwareThere is a Free software firmware called FreeMAC , but it's not yet ready for non developers use ; ; Reverse-engineered, obsoleted by p54. 
 rt2x00 ; rt2400pci ; MediaTek (Ralink) RT2460 ; b ; Yes (since 2.6.24) ; Nosee the license of the firmware date=2017-01-05  to see which chipsets need a firmware ;GPLv2+ ;rt2x00.serialmonkey.com, From partial documentation and GPL drivers by Ralink 
 rt2x00 ; rt2500pci ; RT2560 ; b/g ; Yes ; No ;GPLv2+ ;rt2x00.serialmonkey.com 
 rt2x00 ; rt61pci ; RT2561, RT2561S, RT2661 ; dunno ; Yes ; Yes ;GPLv2+ ;rt2x00.serialmonkey.com 
 rt2x00 ; rt2800pci ; RT2760, RT2790, RT2860, RT2880, RT2890, RT3052, RT3090, RT3091, RT3092RT3390, RT3060, RT3062, RT3562, RT3592, RT5390, RT3290 ; dunno ; Yes ; Yes ;GPLv2+ ;rt2x00.serialmonkey.com 
 rt2x00 ; rt2500usb ; RT2571 & RT2572 ; b/g ; Yes ; No ;GPLv2+ ;rt2x00.serialmonkey.com 
 rt2x00 ; rt73usb ; RT2571W, RT2573 & RT2671 ; dunno ; Yes ; Yes ;GPLv2+ ;rt2x00.serialmonkey.com 
 rt2x00 ; rt2800usb ; RT2770, RT2870 & RT3070, RT3071 & RT3072RT3370, RT3572, RT5370, RT5572 ; dunno ; Yes ; Yes ;GPLv2+ ;rt2x00.serialmonkey.com 
 rtl818x ; rtl8180 ; RTL8180, RTL8185, RTL8187SE ; b/g ; Yes ; No ;GPL ; 
 rtl818x ; rtl8187 ; RTL8187, RTL8187B ; a/b/g ; Yes ; No ;GPL ; 
 rtl8xxxu ; rtl819x ; RTL8723AU, RTL8723BU, RTL8191EU, RTL8192EU, RTL8188EU, RTL8188RU ; dunno ; Yes ; No ; GPLv2 ; various 
 rtlwifi rtl‑wifi ; rtl8188ee ; Realtek ; dunno ; Yes (since 2.6.38) 2010-12-15: add rtl-wifi and support for RTL8192CE ; Yes ; GPL ; Written by Realtek et al. Forked from rtl8180-sa2400 project. 
 rtlwifi rtl‑wifi ; rtl8192c ; ; dunno ; Yes ; ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8192ce ; ; dunno ; Yes ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8192cu ; ; dunno ; Yes ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8192de ; ; dunno ; Yes ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8192se ; ; dunno ; Yes ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8723ae ; ; dunno ; Yes ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8188eu ; RTL8188EU e.g. in the TP-Link TL-WN725N ; dunno ; Yes (since 3.12{{cite web |url=) ; Yes ; GPL ; Written by Realtek et al. 
 rtlwifi rtl‑wifi ; rtl8821ae ; RTL8812AE, RTL8821AE ; ac ; Yes (since 3.16) ; Yes ; GPL ; dunno 
 rsi9113 ; RSI9113 ; Redpine Signals SDIO, USB adapters ;  ; Yes ; ; GPL ; Written by Redpine Signals Inc. 
 ti ; wl1251 ; Texas Instruments TI wl1251 (SDIO/SPI) ; dunno ; Yes ; Yes ; GPL ; Written by Nokia 
 ti ; wl12xx ; Texas Instruments TI wl1271, wl1273, wl1281 and wl1283 ; dunno ; Yes (Only up to 3.2) ; Yes ; GPL ; Written by Nokia and Texas Instruments 
 ti ; wl18xx ; Texas Instruments TI WiLink 8 ; dunno ; Yes ; Yes ; GPL ; Written by Texas Instruments 
 zd1211rw ; zd1211rw ; ZyDAS ZD1211/ZD1211B (USB) ; dunno ; Yes ; Yes ZD1211 USB WLAN Linux Driver Firmware ; GPL ; various 
