 Audio player ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossy compression ; Lossless compression ; Lossless compression ; Lossless compression ; Lossless compression ; Lossless compression ; Lossless compression 
 Music Player Daemon ; yes ; yesname=through_ffmpeg ; partialname=through_ffmpeg ; yes ; yes ; yes ; yesname=through_ffmpeg ; yesname=through_ffmpeg ; yes ; yesname=through_ffmpeg ; yes ; yes ; yesname=through_ffmpeg ; yes ; dunno 
 MusicBee ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yesname=through_winamp ; yes ; yes ; yes ; yes ; yesname=through_winamp ; yes ; yes 
 Musicmatch Jukebox ; yes ; yes ; no ; no ; no ; no ; no ; dunno ; dunno ; no ; no ; no ; no ; no ; dunno 
 musikCube ; yes ; partialname=autodl ; no ; yes ; partialname=autodl ; partialname=autodl ; partialname=autodl ; dunno ; dunno ; yes ; yes ; no ; no ; partialname=autodl ; dunno 
 Quod Libet ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; dunno ; yes ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; dunno 
 Rhapsody ; yes ; yes ; yes ; no ; no ; yes ; no ; dunno ; dunno ; no ; no ; no ; no ; no ; dunno 
 Rhythmbox ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; dunno ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; yesname=through_gstreamer ; dunno 
 Sayonara Player ; yes ; dunno ; dunno ; yes ; dunno ; dunno ; no ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno 
 Sonique ; yes ; yes ; no ; yes ; partialname=autodl ; partialname=autodl ; no ; dunno ; dunno ; no ; no ; no ; no ; no ; dunno 
 SpotifyLocal files. Spotify.com. ; yes ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 Style Jukebox ; yes ; yes ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; yes ; no ; no ; yes 
Winamp ; yes ; yes ; yesname=plugin ; yes ; yesname=plugin ; yes ; dunno ; dunno ; dunno ; dunno ; yes ; dunno ; dunno ; yesname=plugin ; dunno 
 XMMS ; yes ; partialname=autodl ; partialname=autodl ; partialname=autodl ; yes ; yes ; no ; yesname=plugin ; dunno ; partialname=autodl ; yes ; no ; partialname=autodl ; yes ; dunno 
 XMPlay ; yes ; yesname=plugin ; yesname=plugin ; yes ; yesname=plugin ; yesname=plugin ; yesname=plugin ; dunno ; yesname=plugin ; yesname=plugin ; yesname=plugin ; yesname=plugin ; yesname=plugin ; yesname=plugin ; dunno 
 Zinf ; yes ; no ; no ; yes ; no ; no ; no ; dunno ; dunno ; no ; no ; no ; no ; no ; dunno 
 Audio player ; MP3 ; WMA ; RealAudio ; Vorbis ; Musepack ; AAC ; Dolby AC-3 ; VQF ; Opus ; APE ; FLAC ; ALAC ; SHN ; WV ; WMA L 
