 rh| Name ; Hard drive: partition size max ; Native support:File system ; Native support:floppy capacities 3.5" ; Native support:floppy capacities 5.25" ; Native support:floppy capacities 8.0" ; Integrated disk compression utility ; Native support:long file names 
 rh| DR-DOS&nbsp,7.06-7.07 ; ? ; FAT12, FAT16, FAT16B, FAT32 (bootable) ; 720KB, 1.44MB, 2.88MB ; 160KB, 180KB, 320KB, 360KB, 1.2MB ; (250.25KB) ; Stacker, not on FAT32 ; Partial, COMMAND.COM and LONGNAME only 
 rh| DR-DOS8.0 ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 160KB, 180KB, 320KB, 360KB, 1.2MB ; (250.25KB) ; Supported, not on FAT32 ; Partial, COMMAND.COM only 
 rh| DR-DOS8.1 ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; No 
 rh| FreeDOS&nbsp,1.0 ; 2&nbsp,TB date=January 2012 ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; Dunno ; No 
 rh| FreeDOS&nbsp,1.1-1.2 ; 2&nbsp,TB date=January 2012 ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; Yes 
 rh| PTS-DOS 32 ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; No 
 rh| PTS-DOS 2000 ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; No 
 rh| PTS-DOS 2000 PRO ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; No 
 rh| Datalight ROM-DOS ; ? ; FAT12, FAT16, FAT16B, FAT32 ; 720KB, 1.44MB, 2.88MB ; 360KB, 1.2MB ; n/a ; No ; Yes 
 rh| DIP&nbsp,DOS ; n/a ; FAT12 ; n/a ; n/a ; n/a ; No ; No 
