 Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament ; Armament 
 Main ; 0.303 or 0.5 MG ; QF 2 pdr 40mm ; 2×MG-34 7.92mm ; 20mm ; 37mm ; 7.5cm KwK 37 L/24 ; ÚV vz. 34 37mm ; 37mm L/47.8 ; Bofors wz. 37 37mm ; Model 32 45mm ; Model 38 45mm ; L-11 Model 1939 76.2mm L/30.5 ; 76.2mm F-34 (tank gun) ; Type 97 57mm Tank Gun 
 Secondary ; – ; 7.92mm Besa MG ; – ; 2×MG34 7.92mm ; 3×MG34 7.92mm ; 2×MG34 7.92mm ; 2×MG 37(t)7.92mm ; 2×MG 37(t)7.92mm ; Ckm wz.30 7.92mm ; 2×DT machine gun  7.62mm ; 3×DT 7.62mm ; 2×DT 7.62mm (hull, turret rear) ; 4×DT 7.62mm ; 2xType 97 7.7mm guns 
 Ammunition ; –  4,000 rounds ; 93 AP shot  2,925 rounds ; –  2,250 rounds ; 180 shells  2,250 rounds ; 125 shells  4,500 rounds ; 80 shells  2,700 rounds ; 72 shells  1,800 rounds ; 72 shells  2,400 rounds ; 80 shells 3,960 rounds ; 100 shells 2,848 rounds ; 146 shells 2,394 rounds ; 77 shells 2,898–4,725 rounds ; ? shells ? rounds ; 120 shells 2,350-2,575 rounds 
 Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine ; Engine 
 Fuel ; gasoline ; diesel ; gasoline ; gasoline ; gasoline ; gasoline ; gasoline ; gasoline ; diesel ; gasoline ; diesel ; diesel ; diesel ; diesel 
 Engine ; 8-cylinder Ford ; 2x 6-cylinderAEC or Leyland ; 6-cylinder Maybach NL38TR ; 6-cylinder petrol Maybach HL 140hp (105kW) ; 12-cylinder Maybach HL 120 TRM 300 PS (296hp, 220kW) ; 12-cylinder Maybach HL 120 TRM 300 PS (296hp, 220kW) ; 6-cylinder Škoda T11/0 ; 6-cylinder Praga EPA ; 6-cylinder Saurer VGLD ; 6-cylinder GAZ T-26 ; 12-cylinder V-2 ; 12-cylinder V-2-34 ; 12-cylinder V-2 ; 12-cylinder SA12200VD 
 Power ; 70hp  52kW ; 180hp  134kW ; 100hp  75kW ; 140hp  104kW ; 265hp  197kW ; 296hp  220kW ; 120hp  89kW ; 125hp  93kW ; 110hp  82kW ; 90hp  67kW ; 450hp  340kW ; 500hp  375kW ; 600hp  450kW ; 170hp  127kW 
 Fuel consumption ; ? ; ? ; 103–126 litres/100km ; ? ; ? ; ? ; ? ; ? ; 81–100 litres/100km ; ? ; ? ; ? ; ? ; ? 
 Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility ; Mobility 
 Suspension ; sprung bogie ; coil spring ; coil spring/leaf spring ; leaf spring ; torsion-bar ; leaf spring ; leaf spring ; leaf spring ; leaf spring  ; leaf spring ; Christie ; Christie ; torsion-bar ; Bell-Crank 
 Speed (road) (terrain) ; 13km/h  9 ; 24km/h  15 ; 40km/h  ? ; 40km/h  ? ; 40km/h  ? ; 42km/h  16km/h ; 34km/h  ? ; 42km/h  15km/h ; 37km/h  ? ; 30km/h  ? ; 86km/h  ? ; 53.5km/h  ? ; 35km/h  ? ; 40km/h  ? 
 Range (road) (terrain) ; ? ; 160 miles (257km) ; 140km  115km ; 200km  ? ; 155km  ? ; 320km  200km ; 190km  120km ; 250km  160km ; 160km  130km ; 225km  150km ; 700km  400km ; 300–400km 230–260km ; 335km ? ; 210km ? 
 power:weight ; 6.3hp/t ; 6.7hp/t ; 16.7hp/t ; 14.8hp/t ; 12.0hp/t ; 12.0hp/t ; 10.9hp/t ; 13.2hp/t ; 11.1hp/t ; 8.7hp/t ; 30.6hp/t ; 19.0hp/t ; 13.0hp/t ; 11.3hp/t 
 Track width ;  ;  ; 280mm ; 305mm ; 360mm ; 380mm ; 320mm ; 293mm ; 267mm ; 260mm ; 300mm ; 550mm"T-34-76 Model 1940", at onwar.com. URL accessed 2006-07-25. ; ? ; 350mm 
 Ground pressure ; ? ; ? ; ? ; ? ; ? ; 96.5kPa ; ? ; ? ; 59kPa ; 60kPa ; 76.5kPa ; 62.76kPa ; ? ; ? 
 Ground clearance ;  ;  ; 290mm ; ? ; 385mm ; 400mm ; 350mm ; 400mm ; 376mm ; 380mm ; 350mm ; 400mm ; ? ; 343mm 
 Vertical obstacle  Trench crossing  Fording depth ;  ;  ; 0.36 m  1.4 m  0.58 m ; 0.42 m  ?  0.85 m ; 0.6 m  2.3 m  0.8 m ; 0.6 m  2.5 m  1.0 m ; 0.79 m  2.01 m  0.79 m ; 0.8 m  1.86 m  0.9 m ; ?  1.8 m  1.0 m ; 0.7 m  1.8 m  0.8 m ; 0.55 m  2 m  1.2 m ; 0.8 m 2.5 m  1.3m ; ? ; 1.0 m  2.5 m  1.0 m 
  ; Matilda Mk I ; Matilda Mk II ; Panzer I ; Panzer II ; Panzer III ; Panzer IV ; LT vz. 35 ; LT vz. 38 ; 7TP ; T-26 ; BT-8 ; T-34 ; KV-1 ; Type 97 Chi-Ha 
