 ; Description ; Creator ; First public release date ; Latest stable version ; Latest Stable Release Date ; List Price (USD) ; Software license 
 Fotografix ; Freeware, portable image editor ; L. Madhavan ; 14 ; 1.5 ; ; ; Freeware 
 F-Spot ; Image viewer and organizer for GNOME ; Ettore Perazzoli ; 2005 ; 0.8.2 ; 19 ; ; GPLv2 
 G'MIC ; Free command line software for 2D or 3D image processing and visualization ; David Tschumperlé ; 10 ; 2.8.3 ; 23 ; ; CeCILL 
 GIMP ; Free image editor and graphics creator ; Spencer Kimball, Peter Mattis ; 01 ; 2.10.18 ; 24 ; ; GNU (L)GPLv3+ v2.7+ 
 GimPhoto ; Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop. ; Ek Kian ;  ; 24.1 ; 30 ; ; GPLv2 
 GIMPshop ; GIMP with a GUI similar to Adobe Photoshop ; Scott Moschella ;  ; 2.2.11 ; ; ; GPL 
 GNU Paint ; Free and open-source raster graphics editor ; Andy Tai ; 10 ; 0.3.3 ; ; ; GPL 
 GrafX2 ; GrafX2 with a GUI similar to Deluxe Paint ; Sunset Design (Guillaume Dorme, Karl Maritaud) ; 1996 ; 2.7 ; 01 ; ; GPL 
 GraphicConverter ; Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins ; Thorsten Lemke ; 1992 ; 10 ; ; ; proprietary 
 GraphicsMagick ; Commandline image converter and editor ; GraphicsMagick Group ; 2002 ; 1.3.34 ; 24 ; ; MIT 
 gThumb ; Image viewer and organizer for the GNOME desktop environment ; Paolo Bacchilega ; 2001 ; 3.8.3 ; 23 ; ; GPL3 
 HDR PhotoStudio ; HDR (High Dynamic Range Editor) with human vision imaging model ; Unified Color ; 10 ; 2.15.37 ; ; ; proprietary 
 Helicon Filter ; Advanced image editor with a simplified tabbed interface ; Helicon Soft Ltd. ; 08 ; 5.0.28 ; ; ; proprietary 
 ImageJ ; Image processing program developed at the National Institutes of Health. ; Wayne Rasband (NIH) ; 1997 ; 1.46m ; ; ; Public Domain 
 ImageMagick ; Command line software suite for displaying, converting, and editing raster image files ; ImageMagick Studio LLC ; 1990 ; 7.0.9-23 ; 15 ; ; Apache 2.0 
 iPhoto* ; Image organizer and basic editor for macOS, replaced by Photos ; Apple Inc. ; 2002 ; 9.6 ; ; ; proprietary 
 IrfanView ; Image and video viewer with basic editing functions ; Irfan Skiljan ; 1996 ; 4.44IrfanView home page ; 20 ; ; Freeware 
 Iridient Developer ; Powerful raw image conversion application designed and optimized for macOS ; Iridient Digital ; 2004 ; 3.0.3 ; ; ; proprietary 
 KolourPaint ; ; KDE ; 2004 ; 19.12.1 ; 09 ; ; BSD 
 Krita ; Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based. ; KDE ; 2005 ; 4.2.8 ;27; ; GPL 
 LazPaint ; Free multiplatform layered image editor ; circular ; 2011 ; 7.0.7 ; 14 ; ; GPL 
 LiveQuartz ; Basic multi-layer photo editor ; Romain Piveteau ; 2005 ; 2.8 ; 1 ; ; proprietary 
 MacPaint* ; Obsolete basic editor ; Bill Atkinson ; 1984 ; 2.0 ; ; ; proprietary 
 Microsoft Office Picture Manager* ; Basic image editor ; Microsoft ; 2002 ; 14.0 ; ; ; proprietary 
 Microsoft Paint ; Basic graphic creator and editor packaged with Microsoft Windows operating systems ; Microsoft ; 1985 ; 6.1 ; ; ; proprietary 
 Microsoft Photo Editor* ; Obsolete basic image editor for Windows ; Microsoft ; 2000 ; 3.01 ; ; ; proprietary 
 mtPaint ; pixel art and photo editing application ; Mark Tyler ; 13 ; 3.40 ; 30 ; free ; GPL3 
 MyPaint ; Digital painting application ; Martin Renold ; 12 ; 2.0.0 ; 16 ; free ; GPL2 
 OpenCanvas ; ; Portalgraphics ; 2000 ; 4 ; ; ; proprietary 
 paint.net ; Freeware image editor and graphics creator based on the .Net framework ; Rick Brewster, et al. ; 06 ; 4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP) ; 2 ; ; Freeware 
