Provider ;Win. ;Linux ;Mac ;Android ;iOS ;Encrypted storage ;Zero knowledge ;Secure Key Management ;Limited MB plan ;Unlimited MB plan ;$/MB plan ;Unlimited BW  ;Provider ;Cloud hosted Net Drive ;Sync ;Autodetect changes ;Public file hosting ;physical media restore ;Server location(s) ;Free online storage (non-trial) ;Maximum per-file size ;External hard drive support ;Hybrid Option ;Green Hosting ;OpenSaaS 
Dropbox ; yes ; Does not work on filesystems other than ext4 ; yes ; yes ; yes ; yes ; noDropbox Lied to Users About Data Security, Complaint to FTC Alleges | Threat Level  | Wired.com ;? ;  ;  ; yes ; ;Dropbox ; no ; yes ; yes ; yes ;  ;  ; 2 GB ; No Limit ;  ;  ;  ; no 
 Dropmysite ; yes ; yes  ; yes ; ; ; yes ; no  ;? ; yes ; no ; no ; yes ; Dropmysite ;  ; yes ; yes ; yes ;  ; Global ; 2 GB ; No limit ;  ; dunno  ; ; 
 Egnyte ; yes ; yes ; yes ; ; ; optionalSecurity & Privacy - Online Storage Protection and Secure File Sharing for Egnyte Cloud File Server ; optional ;? ;  ;  ; ; ; Egnyte ; yes ; yes ; yes ; yes ;  ; USA ; no ; No limit ; ; ? ; ; 
ElephantDrive ; yes ; yesLinux | ElephantDrive. Home.elephantdrive.com. Retrieved on 2013-08-10. ; yes ; yesDownload Android App | ElephantDrive. Home.elephantdrive.com (2011-12-09). Retrieved on 2013-08-10. ; ; yes ; optional (off by default) What is a Personal Key in the encryption settings? : Knowledge Base and Support Center ;? ; yes ; no ;  ; ;ElephantDrive ; yes ; yesEverywhere folder : Help Desk. Support.elephantdrive.com (2012-07-05). Retrieved on 2013-08-10. ; yes ; yesTutorials date=2014-02-21 . Vault.elephantdrive.com. Retrieved on 2013-08-10. ;  ; USA ; 2 GB ; ; yes ; ? ; no, Amazon AWS ; 
Google Drive ; yes ; no, no provider-sanctioned Linux support.Google Drive Is Coming to LinuxTeresa Wu, community manager for Google drive apps promised linux client in Apr 2012Google Drive for Linux Screenshots leak after years of promises ; yes ; yes ; yes ; yes ; no ;? ;  ; yes (Enterprise Only) G Suite Business ; yes ; yes  ;Google Drive ; no ; yes ; yes ; yes ; ; USA, Worldwide ; 15 GB ; 5 TBGoogle Docs, Sheets, and Slides size limits "Files that you upload but don't convert to a Google Docs, Sheets, or Slides format can be up to 5TB each." ; ; ;partial: 34%Google Green - Renewable energy ; no 
 IASO Backup ; yes ; yes ; yes ; ; yes ; yes ; yes ;? ; yes ; no ; yes ;  ; IASO Backup ; no ; no ; no ; yes ; ; USA, Worldwide ; no ; No limit ; yes ; yes ; ; 
 iCloud ; yes ; yes, via Storage Made Easy client ; yes ; yes, via Storage Made Easy client ; yes ; yes ; no  ;? ; no ; no ; yes ; ; iCloud ; dunno ; yes ; dunno ; dunno ;  ; CHN for mainland China accounts, language=enunknown for others ; 1 GB (everyone)   accessdate = 15 October 2017  5 GB (Apple users only)  ;  ; ; ; yes, 94% ; no 
 iDrive ; yes ; yes, but you have to manually run perl scripts. ; yes ; yes ; yes ; yes ; no ; ; no ; no ; yes  accessdate = 15 October 2017  ; ; iDrive ; ; yes ; yes ; yes ; yes ; unknown ; 5 GB ; ; yes ; ; ; 
Infrascale ; yes ; yes  ; yes ; yes ; yes ; yes ; optional ; optional ; yes  ; yes ; no ; yes ;Infrascale ; no ; yes ; yes ; yes ; yes ; USA, CAN, UK, ZAF, AUS, NZ, JAM ; no ; No limit ; yes ; optional ;  ; 
 Iperius Online Storage ; yes ; no ; no ; ; ; yes ; Optional ;? ; 50, 100, 200, 500 GB ; no ; no ; yes ; Iperius Online Storage ;  ; yes ; yes ; no ; Iperius Online Storage ;  ;  ; No limit ;  ;  ; ; 
Intronis ; yes ; no  ; yes ; yes ; yes ; yes ; yes ;configurable ; yes  ; no{{cite web|title=Intronis Rates|url= ; yes ; yes ;Intronis ; yes ; yes{{cite web|title=Intronis' ECHOshare Secures File Sharing, Collaboration for SMBs|url= ; yes ; no ; yes{{cite web|title=Intronis Introduces Backup and Restore ECHOplatform|url= ; USA, CAN ; no ; No limit ; yes ; optional ; yes ; 
 Jumpshare ; yes ; no ; yes ; no ; yes ; yes ;  ;  ; yes ; no ; no ; yes ; Jumpshare ;  ; yes ; yes ; yes ; no ; USA, EUR ; 2 GB ; 250 MB on free, Unlimited on Jumpshare Plus ;  ;  ; yes ; 
 Jungle Disk ; yes ; yes ; yes ; yes ; yes ; yesEncryption and Account Keys : Jungle Disk Support ; yes ; yes ;  ;  ; yes ; yes ; Jungle Disk ; yes{{cite web|url= Disk WebDAV|access-date=2014-06-15|archive-url= ; yes ; yes ; yes ;  ; USA, EUR ; no ; No limit in Backup Vault ; yes ; ; partial, Amazon AWS or Rackspace Cloud Files. ; 
 KeepVault ; yes ; no ; no ; ; ; yes| SysTools Office 365 Backup ; yes,  ; ? ; yes ; no ; yes ; ; KeepVault ;  ; ; yes ;  ;  ; USA ; ; 20 GB ; ; ; ; 
Livedrive ; yes ; no ; yes ; yes ; yes ; no ; no ; ? ; yes ; Online Backup only ; no ; yes ;Livedrive ; yes (paid-only) ; yes ; yes ; yes ; yes ; UK ; no ; No limit ; yes ; ;  ; 
MediaFire ; yes ;  Upload only  ; yes ; yes ; yes ; no ; no ; ? ; yes ; no ; yes ; yes ;MediaFire ; no ; yes ; yes ; yes ;  ; USA ; 10 GB ; No Limit ; no ; no ; ; 
 Mega ; yes ; yes  ; yes  ; yes ; yes ; yes ; yes ; yesWe provide for user controlled encryption (UCE) where you, the user, control the keys. ; yes ; no ; yes ; yes ; Mega Ltd. ; no ; yes ; yes, using MEGAsync client ; yes ; no ; EUR, NZ ; 15 GB + 35 GB first 30 days ; No limit ; no ; no ; ; 
 MiMedia ; Yes ; No ; No ;  ; ; Yes ; no ; ? ; Yes ; No ; Yes ; Yes ; MiMedia ; No{{cite web|url= ;MiMediaSupportWebDAVOr FTP?|publisher=Support.mimedia.com |date= |accessdate=2017-03-30}} ; No ; Yes ; No ; No ; USA ; 7 GB ; 3 GB ; Yes ; ; ; 
 OneDrive ; yes ; no, see noteStorage Made Easy supports OneDrive ; yes ; yesMicrosoft SkyDrive for Android app is now available ; yes ; yesDefend yourself from cybercrime with new Office 365 capabilities, Microsoft monitoring, censoring SkyDrive uploads? | WMPoweruser ; no ; ? ; yes ; no ; ; ; OneDrive ; no ; yes ; ; ; ; ; 5 GB for new users, 25 GB for older users ; 100 GB Support page about Max File upload size ; ; ; partial, 29% ; no 
 SpiderOak ; yes ; yes ; yes ; Download Only ; Download Only ; yes ; yesThe company refers to this as "No Knowledge" ; ? ; yes ; Business only (min 10 users) ; yes ; yes ; SpiderOak ; no{{cite web|url= FAQ: SpiderOak can not map network drives|url-status=dead|archiveurl= ; yes ; yes ; yes ;  ;  ; (2 GB free for 60 days only) ; No limit ; yes ; yeshttps://spideroak.com/manual/preferences  ; ; no 
 SugarSync ; yes ; no ; yes ; yes ; yes ; yesData and File Security - Secure Online Backup – SugarSync ; noSugarSync password recovery ; ? ; yes ; no ; no ; ; SugarSync ; ; yes ; yes ; yes (SugarSync account needed for folders) ; ; ; no ; 100 MB (web) No limit (client app)What is max file size for upload? date=2013-02-03  "There is no maximum file size limit for adding the file through the SugarSync Manager application.  However, there is a 100MB limit for files being uploaded through the SugarSync website." ; ; ; ; 
 Syncplicity ; Yes ; No ; Yes ; Yes ; Yes ; yesSyncplicity User Manual / About Syncplicity  ; no ; ? ; ; ; Yes ; ; Syncplicity ; ; Yes ; Yes ; Yes ; ; USA ; 10 GB ; ; ; ; ; 
Tarsnap ;  Yes via Cygwin ; yes ; yes ; no ; no ;Yes ; yesCryptography. Tarsnap (2009-09-04). Retrieved on 2013-08-10. ; ? ; no ; no ; yes ;  ;Tarsnap ; no ;  ;  ;  ;  ;  ; no ;  ;  ;  ; no, Amazon AWS ; no 
Trend Micro SafeSync ; yes ; partial ; yes ; yes, via Storage Made Easy client ; yes, via Storage Made Easy client ; ; no ;? ;  ;  ; yes ; ;Trend Micro SafeSync ; yesdate=June 2014 ; yes ; ; yes ;  ; UK ;  ; ; ; ; ; 
Tresorit ; yes ; yes{{cite web|title=Tresorit on Linux|url= ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ;Tresorit ; yes ; yes ; yes ; yes ; no ; IRL, NLD{{cite web|title=Tresorit Send FAQ|url= ; 3 GB and  in FAQ "What happens if I cancel my trial or a subscription I'm paying for?" ; 0.5 GB (free), 10 GB (paid){{cite web|title=Tresorit Pricing Comparison|url= ; yes ; no ; ; 
Unitrends Vault2Cloud ; yes ; yes ; yes ; ; ; yes ; no ; ? ; no ; yes ; yes ; ;Unitrends Vault2Cloud ; yesdate=June 2014 ; yes ; ; no ; yes ; USA ; no ; ; ; ; ; 
UpdateStar Online Backup ;yes ;no ;no ; ; ;yesUpdateStar - Simplify your software life ; noEven though UpdateStar allows you to manage your own private key, they also have an Encryption Key Recovery Service. How that exactly works is not clear from the website. ; ? ;yesServer Edition ;yes ; ; ;UpdateStar Online Backup ; ; ; ; ; ; EUR ; ; ; ; ; ; 
Yandex.Disk ; yes ; yes ; yes ; yes ; yes ; noQuestions and Answers ; no ; ? ; yes ;  ; ; ;Yandex.Disk ; yes ; yes ; yes ; yes ; ; RUS ; 10 GB ; 50 GB ; ; ; ; 
Zetta.net ; yes ; yes ; yes ; ; ; yes ; no ; ? ; yes ; no ; yes ; yes ;Zetta.net ; yes ; yes ; yes ; no ; yes ; USA ; no ; No limit ; yes ; yes ; ; 
 Zmanda Cloud Backup ; yes ; no ; no ; ; ; optionalZcb Faq. Zmanda.com. Retrieved on 2013-08-10. ; optional ; ? ;  ;  ; yes ; ; Zmanda Cloud Backup ; yesdate=June 2014 ;  ; ;  ; yes ; USA, EUR, SIN, JPN ;  ; No limit ; yes ; yes ; partial, Amazon AWS or Google Cloud Storage 
