Web host ;Storage size ;Max. file size ;Traffic or bandwidth limit ;Remote upload? ;Developer API? ;FTP upload possible? ;File versioning ;Follows symlinks ;Client-side encryption ;Free GB (number only) ;Append-only support? Append-only is a property of computer data storage such that new data can be appended to the storage, but where existing data is Immutable. This feature is especially important to mitigate the risk of data loss for backup policies in the event that the computer being backed-up becomes infected with ransomware capable of deleting or encrypting the computer's backups. ;Lifecycle Policy support? ;Misc. notes 
 Apple iCloud ;  rarely 5GB free,50GB to 2TB paid ;  rarely50GB ;  rarely200/400/600 GB per month ;  no ;  Yes ; No ;  Partly ;  no ;  ? ;  5 ; ; ;  
 Jumpshare ;  rarely2 GB free, 1 TB paid ;  rarely250 MB free, Unlimited paid ;  rarely5GB per month free, 200GB per month on paid plan ;  yes ;  dunno ;  dunno ;  dunno ;  dunno ;  no ;  2 ; ; ; Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips. 
 MediaFire ;  rarely10GB,+50GB for referrals up to 1TB Pro accounts,100TB Business accounts ;  rarely20GBPlan Comparison ;  rarely 10TBpro plan,Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.Mediafire states on their knowledgebase that  there's a bandwidth limit for premium users ;  Yes ;  Yes ;  No ;  Yes ;  ? ;  Yes ;  10 ; ; ;  Resuming of interrupted downloads possible. 
 Mega ;  rarely15GB free,up to 50GB free trial,{{cite web|accessdate=2018-04-29|title=MEGA Review - Updated 2018|url=up to 16TB paid ;  goodAvailable cloud drive spaceMega Help Centre: Basics: Are there any file size limits on Mega? ;  rarely 10GBfree,Up to 96TB per month paid.Mega (service) ;  no ;  yes ;  no ;  yes ;  ? ;  yes ;  15 ; ; ;  Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari Supports HTML5 browsers. 
 OneDrive ;  rarely5GB free (since 31 January 2016)+500 MB free for referrals up to 5 GB,GB paid 1 TB with paid Office 365 account by default, can register 5 accounts for up to 5TB combined.<!-- Empty reference  ;  rarely100GB ;  None ;  yes ;  yes ;  no ;  yes (Office files only) ;  no ;  ? ;  5 ; ; ;  Fetch files allows remote access of files on Windows with OneDrive installed25 GB free for grandfathered accounts before April 2012 
 SecureSafe ;   rarely 100MB free, up to 100GB paid  ;  ?  2GB limit for SecureSend ;  None ;  no ;  no ;  No ;  no ;  ? ;  yes ;  0.1 ; ; ;  Offers Data Inheritance  
 SugarSync ;  some 60GB personal paid,UnlimitedGB professional paid ;  None ;  rarely10GB/file/day free,250GB file/day paid ;  no ;  yesREST ;  ? ;  Yes ;  ? ;  No ;  0 ; ; ;  If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.{{cite web| title=SugarSync Help Portal - My Public Link is no longer available | url=  
 Tencent Weiyun ;  rarely2TB(10 GB free) ;  rarely1 GB regular upload,32 GB Power Upload plug-in ;  None ;  no ;  no ;  no ;  no ;  ? ;  no ;  10 ; ; ;  In English and Chinese (free version in Chinese only) 
 TitanFile ;  rarely No free space, unlimited paid ;  rarely100MB free,1GB paid,4GB professional ;  None ;  noNo ;  yes ;  yesFor enterprise clients only ;  yes ;  ? ;  yes for paid plansaccess-date=1 November 2016 ;  0 ; ; ;  HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website.  
 Tresorit ;  rarely 3 GB free trial, 100-1000 GB paid plans ;  rarely 500 MB free,5 GB premium,10 GB rest of paid plans ;  None ;  no ;  no ;  No ;  For paid plans only ;  no ;  yes ;  3 ; ; ;  Files are client-side encrypted, zero-knowledge principles are used to prevent Tresorit itself from reading the files. 
 Wasabi ;  rarely unlimited. paid only. ;  ? ;  ? ;  ? ;  yes ;  ? ;  ? ;  ? ;  ? ;  0 ;  yes ;  ? ;  
 Yandex Disk ;  rarely up to 20 GB free (10 GB when registering), up to 1024 GB paid ;  rarely 2 GB upload via Web or WebDAV, 50 GB upload via application ;  rarely 200% of storage size per day ;  no ;  yes: REST, WebDAV, SDK ;  no ;  14 days with free accounts 90 days with paid ones ;  ? ;  no ;  10 ; ; ;  English, Russian, Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows, macOS, Linux, iOS, Android. Client-side encryption is available with 3rd party open source clients.  
Web host ;Storage size ;Max. file size ;Traffic or bandwidth limit ;Remote upload? ;Developer API? ;FTP upload possible? ;File versioning ;Follows symlinks ;Client-side encryption ;Free GB (number only) ;Append-only support?  ;Lifecycle Policy support? ;Misc. notes 
