 Model ; Launch ; Code name ;Fab (nm) ; Transistors (million) ; Die size (mm2) ; SM count ; Core config1,3 ; Clock rate ; Clock rate ; Clock rate ; Fillrate ; Fillrate ; Memory configuration ; Memory configuration ; Memory configuration ; Memory configuration ; Supported API version ; Supported API version ; Supported API version ; Supported API version ; Processing power (GFLOPS)2 ; Processing power (GFLOPS)2 ; TDP (Watts)4 ; Release Price (USD) 
 GeForce GTX 460 SE ; November 15, 2010 ; GF104-225-A1 ;TSMC 40nm ; 1950 ; 332 ; 6 ; 288:48:32 ; 650 ; 1300 ; 3400 ; 20.8 ; 31.2 ; 1024 ; 108.8 ; GDDR5 ; 256 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 748.8 ; unk ; 150 ; $160 
 GeForce GTX 460 ; October 11, 2010 ; GF104 ;TSMC 40nm ; 1950 ; 332 ; 7 ; 336:56:32 ; 650 ; 1300 ; 3400 ; 20.8 ; 36.4 ; 1024 ; 108.8 ; GDDR5 ; 256 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 873.6 ; unk ; 150 ; OEM 
 GeForce GTX 460 ; July 12, 2010 ; GF104-300-KB-A1 ;TSMC 40nm ; 1950 ; 332 ; 7 ; 336:56:24 ; 675 ; 1350 ; 3600 ; 16.2 ; 37.8 ; 768 ; 86.4 ; GDDR5 ; 192 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 907.2 ; Unknown ; 150 ; $199 
 GeForce GTX 460 ; July 12, 2010 ; GF104-300-KB-A1 ;TSMC 40nm ; 1950 ; 332 ; 7 ;336:56:32 ; 675 ; 1350 ; 3600 ;21.6 ; 37.8 ;10242048 ;115.2 ; GDDR5 ;256 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 907.2 ; Unknown ;160 ;$229 
 GeForce GTX 460 ; September 24, 2011 ; GF114 ;TSMC 40nm ; 1950 ; 332 ; 7 ; 336:56:24 ; 778 ; 1556 ; 4008 ; 18.67 ; 43.57 ; 1024 ; 96.2 ; GDDR5 ; 192 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.1 ; 1045.6 ; unk ;160 ; $199 
 GeForce GTX 465 ; May 31, 2010 ; GF100-030-A3 ;TSMC 40nm ; 3000( 855KB), page 11 of 22 ; 529 ; 11 ; 352:44:32 ; 607 ; 1215 ; 3206 ; 19.42 ; 26.71 ; 1024 ; 102.6 ; GDDR5 ; 256 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.2 ; 855.36 ; 106.92 ; 2004 ; $279 
 GeForce GTX 470 ; March 26, 2010 ; GF100-275-A3 ;TSMC 40nm ; 3000( 855KB), page 11 of 22 ; 529 ; 14 ; 448:56:40 ; 607 ; 1215 ; 3348 ; 24.28 ; 34 ; 1280 ; 133.9 ; GDDR5 ; 320 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.2 ; 1088.64 ; 136.08 ; 2154 ; $349 
 GeForce GTX 480 ; March 26, 2010 ; GF100-375-A3 ;TSMC 40nm ; 3000( 855KB), page 11 of 22 ; 529 ; 15 ; 480:60:48 ; 700 ; 1401 ; 3696 ; 33.60 ; 42 ; 1536 ; 177.4 ; GDDR5 ; 384 ; n/a ; 12 FL 11_1 ; 4.6 ; 1.2 ; 1344.96 ; 168.12 ; 2504 ; $499 
 Model ; Launch ; Code name ; Fab (nm) ; Transistors (million) ; Die size (mm2) ; SM count ; Core config1,3 ; Clock rate ; Clock rate ; Clock rate ; Fillrate ; Fillrate ; Memory configuration ; Memory configuration ; Memory configuration ; Memory configuration ; Supported API version ; Supported API version ; Supported API version ; Supported API version ; Processing power (GFLOPS)2 ; Processing power (GFLOPS)2 ; TDP (Watts)4 ; Release Price (USD) 
 Model ; Launch ; Code name ; Fab (nm) ; Transistors (million) ; Die size (mm2) ; SM count ; Core config1,3 ; Core (MHz) ; Shader (MHz) ; Memory (MHz) ; Pixel (GP/s) ; Texture (GT/s) ; Size (MB) ; Bandwidth (GB/s) ; DRAM type ; Bus width (bit) ; Vulkan ; Direct3D ; OpenGL ; OpenCL5 ; Single precision ; Double precision ; TDP (Watts)4 ; Release Price (USD) 
