 Name ; Developer ; First released ; Licensing ; Maintained? 
Rh| GELI ; Pawel Jakub Dawidek ; 2005-04-11 ; BSD ; yes 
Rh| GnuPG ; Werner Koch ; 1999-09-07Release Notes. GnuPG ; GPL ; yes 
Rh| gocryptfs ; Jakob Unterwurzacher ; 2015-10-07 ; MIT / X Consortium License ; yes 
Rh| Knox ; AgileBits ; 2010 ; Proprietary ; yes 
Rh| KryptOS ; The MorphOS Development Team ; 2010 ; Proprietary ; yes 
Rh| LibreCrypt ; tdk ; 2014-06-19 ; Open source ; no 
Rh| Loop-AES ; Jari Ruusu ; 2001-04-11 ; GPL ; yes 
Rh| McAfee Drive Encryption (SafeBoot) ; McAfee, LLC ; 2007 ; Proprietary ; yes 
Rh| n-Crypt Pro ; n-Trance Security Ltd ; 2005 ; Proprietary ; yes 
Rh| NetLib Encryptionizer (directory encryption) ; NetLib Security ; 1987 ; Proprietary ; yes 
Rh| Nodrive (Virtual Encrypted Disk) ; Hidden Solutions ; 2018 ; Proprietary ; yes 
Rh| PGPDisk ; PGP Corporation (acquired by Symantec in 2010) ; 1998-09-01accessdate=2007-01-04  ; Proprietary ; yes 
Rh| Private Disk ; Dekart ; 1993{{cite web |publisher=Dekart |title=Dekart Encryption software timeline |url= ; Proprietary ; yes 
Rh| ProxyCrypt ; v77 ; 2013 ; Open source ; yes 
Rh| R-Crypto ; R-Tools Technology Inc ; 2008 ; Proprietary ; yes 
Rh| SafeGuard Easy ; Sophos (Utimaco) ; 1993 ; Proprietary ; yes 
Rh| SafeGuard Enterprise ; Sophos (Utimaco) ; 2007 ; Proprietary ; yes 
Rh| SafeGuard PrivateDisk ; Sophos (Utimaco)Rebranded as ThinkVantage Client Security fix-attempted=yes  ; 2000 ; Proprietary ; yes 
Rh| SafeHouse Professional ; PC Dynamics, Inc. ; 1992 ; Proprietary ; yes 
Rh| Scramdisk ; Shaun Hollingworth ; 1997-07-01 ; Open source ; no 
Rh| Scramdisk 4 Linux ; Hans-Ulrich Juettner ; 2005-08-06{{cite web |title=ScramDisk 4 Linux Releases |url= ; GPL ; no 
Rh| SecuBox ; Aiko Solutions ; 2007-02-19 ; Proprietary ; yes 
Rh| SECUDE Secure Notebook ; SECUDE ; 2003 ; Proprietary ; yes 
Rh| SecureDoc ; WinMagic Inc. ; 1997 ; Proprietary ; yes 
Rh| Seqrite Encryption Manager ; Quick Heal Technologies Ltd. ; 2017 ; Proprietary ; yes 
Rh| Sentry 2020 ; SoftWinter ; 1998 ; Proprietary ; no 
Rh| Softraid / RAID C ; OpenBSD ; 2007-11-01 ; BSD ; yes 
Rh| SpyProof! ; Information Security Corp. ; 2002 ; Proprietary ; yes 
Rh| Svnd / Vnconfig ; OpenBSD ; 2000-12-01 ; BSD ; yes 
Rh| Symantec Endpoint Encryption ; Symantec Corporation ; 2008 ; Proprietary ; yes 
Rh| Tcplay ; Alex Hornung ; 2012-01-28{{cite web|url= ; BSD ; yes 
Rh| Trend Micro Endpoint Encryption (Mobile Armor) ; Trend MicroTrend Micro ; 2004 or earlier ; Proprietary ; yes 
Rh| TrueCrypt ; TrueCrypt Foundation ; 2004-02-02{{cite web|url= ; TrueCrypt License 3.1 ; no 
Rh| USBCrypt ; WinAbility Software Corp. ; 2010 ; Proprietary ; yes 
Rh| VeraCrypt ; IDRIX ; 2013-06-22{{cite web|url= ; Apache License 2.0 TrueCrypt License Version 3.0 (legacy code only) ; yes 
Rh| CyberSafe Top Secret ; CyberSoft ; 2013 ; Proprietary ; yes 
Rh| Name ;Rh| Developer ;Rh| First released ;Rh| Licensing ;Rh| Maintained? 
