 Maker ; Model ; Intro year ; Screen size (inch) ; Self-lit ; Screen type ; Dimensions (HxWxD) ; Weight ; Screen pixels ; Pixel density (in pixels per inch) ; Touch screen ; Button for Page-turn ; Wireless network ; Text-to-speech ; Folders ; Internal storage ; micro SDHC ; Web browser ; Library DRM compatible ; USB Content Management 
 Boyue ; T62+ ; 2015 ; 6in ; Yes ; E Ink Carta + front-light ;  ; 222g (7.83oz) ; 758 × 1024 ; 212ppi ; Yes ; Yes ; Wi-Fi (n) ; yes* ; Yes ; 8 GB ; yes ; Yes ; Yes ; Yes 
 bq ; Movistar ebook ; 2011 ; 6in ; No ; AUO + SiPix ;  ; 244g (8.6oz) ; 600 × 800 ; 167ppi ; Yes ; Unknown ; Wi-Fi ; Unknown ; Unknown ; 2 GB ; up to 16 GB ; Yes ; Yes ; No 
Tolino ;tolino shine 3 ;2018 ; 6in ; Yes ; E Ink Carta ; 110,2 x 156,4 x 8,35 mm ; 166g ;768 × 1024 ; 212ppi ; Yes ; No ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB (6 GB available for user) + 25GB tolino cloud ; No ; Yes ; Yes ; Yes 
Tolino ;tolino page 2 ;2019 ; 6in ; Yes ; E Ink Carta ; 112,5 x 159,8 x 9,1 mm ; 166g ; 1072 × 1448 ; 300ppi ; Yes ; No ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB (6 GB available for user) + 25GB tolino cloud ; No ; Yes ; Yes ; Yes 
Tolino ;tolino vision 5 ;2019 ; 7in ; Yes ; E Ink Carta ;158,6 × 144,2 × 5,2 mm ; 195g ; 1264 × 1680 ; 300ppi ; Yes ; Yes ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB (6 GB available for user) + 25GB tolino cloud ; No ; Yes ; Yes ; Yes 
Tolino ;tolino epos 2 ;2019 ; 8in ; Yes ; E Ink Carta ;159 x 177,5 x 3,9 mm ; 195g ; 1440 × 1920 ; 300ppi ; Yes ; Yes ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB (6 GB available for user) + 25GB tolino cloud ; No ; Yes ; Yes ; Yes 
 Elonex ; 621EB ; 2009 ; 6in ; No ; E Ink ;  ; 180g (6.3oz) ; 600 × 800 ; 167ppi ; No ; Unknown ; No ; No ; No ; 1 GB ; yes ; No ; yes ; No 
 Icarus Reader ; Icarus Excel ; 2012 ; 9.7in ; No ; E Ink Pearl ;  ; 530g (19oz) ; 825 × 1200 ; 150ppi ; No ; Yes ; Wi-Fi ; Yes ; Unknown ; 4 GB ; yes ; Yes ; Unknown ; Unknown 
 Icarus Reader ; Icarus 8 ; 2013 ; 8in ; No ; ePaper ;  ; 300g (10.5oz) ; 768 × 1024 ; 160ppi ; no ; Unknown ; Wi-Fi ; Unknown ; yes ; 4 GB ; yes ; Unknown ; yes ; Unknown 
 Icarus Reader ; Icarus Essence ; 2013 ; 6in ; No ; ePaper ;  ; 220g (7.8oz) ; 600 x 800 ; 167ppi ; no ; Unknown ; Wi-Fi ; Unknown ; yes ; 4 GB ; yes ; Unknown ; yes ; Unknown 
 Icarus Reader ; Icarus Sense G2 ; 2011 ; 6in ; No ; E Ink ;  ; 220g (7.8oz) ; 600 × 800 ; 167ppi ; Yes ; Unknown ; Wi-Fi ; No ; Yes ; 2 GB (1.3 GB) ; yes ; Yes ; Yes ; Unknown 
 Icarus Reader ; Illumina Pro ; 2016 ; 9.7in ; yes ; E Ink Pearl HD ;  ; 220g (7.8oz) ; 825 x 1200 ; 150ppi ; Yes ; yes ; Wi-Fi ; No ; Yes ; 16 GB (11 GB) ; yes ; Yes ; Yes ; Yes 
 Iriver ; Iriver Story HD ; 2011 ; 6in ; No ; E Ink Pearl ;  ; 207g (7.3oz) ; 768 × 1024 ; 213ppi ; No ; Yes ; Wi-Fi ; No ; Yes ; 2 GB ; SDHC ; No ; Yes ; Yes 
 JinKe ; Hanlin V5 ; 2009 ; 5in ; No ; E Ink ;  ; 160g (5.6oz) ; 600 × 800 ; 200ppi ; No ; Unknown ; No ; Yes ; Unknown ; 512 MB ; SDHC 16 GB ; No ; Unknown ; Unknown 
Boyue ;Boyue Likebook Plus ;2017 ;7.8in ;Yes ;E Ink Carta ;198x144x8.3mm ;290g (10.2oz) ;1404 x 1872 ;300ppi ;Yes ;No ;Wi-Fi ;No ;Unknown ;16 GB ;No ;Yes ; PDF, EPUB, FB2, RTF, MOBI, TXT, HTML/HTM, DJVU/DJV, JPG, PNG, etc. ;Yes 
Icarus ;Icarus Illumina XL HD ;2017 ;7.8in ;Yes ;E Ink Carta ;200x145x9mm ;275g (9.7oz) ;1404 x 1872 ;300ppi ;Yes ;No ;Wi-Fi ;No ;Unknown ;16 GB ;No ;Yes ;Yes ;Yes 
Kobo Inc. ;Kobo Nia ;2020 ;6in ;Yes ;E Ink Carta ;112.4x159.3x9.2mm ;172g (6.06oz) ;1024 x 758 ;212ppi ;Yes ;No ;Wi-Fi ;No ;shelves ;8 GB ;No ;Yes ;Yes ;Yes 
Kobo Inc. ;Kobo Clara HD ;2018 ;6in ;Yes ;E Ink Carta ;195.1x138.5x6.9mm ;166g (5.8oz) ;1072 x 1448 ;300ppi ;Yes ;No ;Wi-Fi ;No ;shelves ;8 GB ;No ;Yes ;Yes ;Yes 
Kobo Inc. ;Kobo Aura One ;2016 ;7.8in ;Yes ;E Ink Carta ;195.1x138.5x6.9mm ;230g (8.1oz) ;1404 x 1872 ;300ppi ;Yes ;No ;Wi-Fi ;No ;shelves ;8 / 32 GB ;No ;Yes ;Yes ;Yes 
Kobo Inc. ;Kobo Aura Edition 2 ;2016 ;6in ;Yes ;E Ink Carta ; 159 x 113 x 8.5mm ;180g (6.3oz) ;768 x 1024 ;212ppi ;Yes ;No ;Wi-Fi ;No ;shelves ;4 GB ;No ;Yes ;Yes ;Yes 
Kobo Inc. ;Kobo Touch 2.0 ;2015 ;6in ;Yes ;E Ink Pearl ;  ;185g (6.5oz) ;600 x 800 ;167ppi ;Yes ;No ;Wi-Fi ;No ;shelves ;4 GB ;No ;Yes ;Yes ;Yes 
 Kobo Inc. ; Kobo Glo HD ; 2015 ; 6in ; Yes ; E Ink Carta ;  ; 180g (6.3oz) ; 1072 × 1448  ; 300ppi ; Yes ; No ; Wi-Fi ; No ; shelves ; 4 GB ; no ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo Aura H2O ; 2014 ; 6.8in ; Yes ; E Ink Carta ; 179 x 129 x 9.7mm ; 233g (8.2oz) ; 1080 × 1430 ; 265ppi ; Yes ; No ; Wi-Fi ; No ; shelves ; 4 GB ; yes ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo Aura HD ; 2013 ; 6.8in ; Yes ; E Ink Pearl ;  ; 240g (8.5oz) ; 1080 × 1440 ; 265ppi ; Yes ; No ; Wi-Fi ; No ; shelves ; 4 GB ; yes ; Yes ; Yes ; Yes 
 Kobo Inc. ; Kobo Aura ; 2013 ; 6in ; Yes ; E Ink Pearl ;  ; 174g (6.1oz) ; 758 x 1024 ; 212ppi ; Yes ; No ; Wi-Fi ; No ; shelves ; 4 GB ; yes ; Yes ; Yes ; Yes 
 Kolporter ; eClicto ; 2007 ; 6in ; No ; E Ink ;  ; 174g (6.1oz) ; 600 × 800 ; 167ppi ; No ; Unknown ; No ; No ; Unknown ; 512 MB ; SD ; No ; Unknown ; Unknown 
 Manta ; Ebook04 ; 2014 ; 6in ; No ; E Ink ;  ; Unknown ; 600 × 800 ; 167ppi ; No ; Yes ; Wi-Fi ; No ; Yes ; 4 GB ; up to 32 GB ; Yes ; Yes ; Yes 
 Onyx Inc. ; BOOX C65 Storia ; 2013 ; 6in ; No ; E Ink ;  ; 186g (8.4oz) ; 758 x 1024 ; 212ppi ; Yes (Capacitive) ; No ; Wi-Fi ; Yes ; Yes ; 4 GB ; Yes ; Unknown ; No ; Yes 
 Onyx Inc. ; BOOX C65 AfterGlow ; 2013 ; 6in ; Yes ; E Ink ;  ; 186g (8.4oz) ; 758 x 1024 ; 212ppi ; Yes (Capacitive) ; No ; Wi-Fi ; Yes ; Yes ; 4 GB ; Yes ; Unknown ; No ; Yes 
 Onyx Inc. ; BOOX M92/92S Black Pearl ; 2011 ; 9.7in ; No ; E Ink Pearl ;  ; 520g (18oz) ; 825 × 1200 ; 150ppi ; Stylus ; Yes ; Wi-Fi ; Yes ; Yes ; 4 GB ; Yes ; Yes ; No ; Yes 
 Onyx Inc. ; BOOX M96 ; 2014 ; 9.7in ; No ; E Ink Pearl ;  ; 520g (18oz) ; 825 × 1200 ; 150ppi ; Stylus ; Yes ; Wi-Fi, Bluetooth 4.0 Low Energy ; Yes ; Yes ; 4 GB ; up to  32 GB SD Card ; Yes ; Yes ; Yes 
 Onyx Inc. ; BOOX T68 Lynx ; 2014 ; 6.8in ; Yes ; E Ink Pearl ;  ; 236g (8.325oz) ; 1080 x 1440 ; 265ppi ; Yes (Capacitive) ; Yes ; Wi-Fi, Bluetooth 4.0 Low Energy ; Yes ; Unknown ; 4 GB ; up to  32 GB ; Yes ; Yes ; Unknown 
 Onyx Inc. ; BOOX N96 ; 2016 ; 9.7in ; Yes (ML version only) ; E Ink Pearl ;  ; 443-461g (16oz) ; 825 × 1200 ; 150ppi ; Yes (N96ML only with Stylus) ; Yes ; Wi-Fi, Bluetooth 4.0 Low Energy ; Yes ; Yes ; 16 GB ; up to  32 GB SD Card ; Yes ; Yes ; Yes 
 Onyx Inc. ; BOOX Max ; 2016 ; 13.3in (letter=13.9in, A4=14.3in) ; No ; E Ink Mobius ;  ; 496g (17.5oz) ; 1200 × 1600 ; 150ppi ; Stylus ; Yes ; Wi-Fi, Bluetooth 4.0 Low Energy ; Yes ; Yes ; 16 GB ; up to  32 GB SD Card ; Yes ; Yes ; Yes 
Onyx Inc. ;BOOX Max Carta ;2017 ;13.3in (letter=13.9in, A4=14.3in) ; No ;E Ink Carta ; ;550g (19.5oz) ;1650 × 2200 ;207ppi ;Stylus ; Yes ; Wi-Fi, Bluetooth 4.0 Low Energy ; Yes ; Yes ;16 GB ; up to  32 GB SD Card ; Yes ; Yes ; Yes 
 PocketBook ; PocketBook CAD Reader ; 2014 ; 13.3in (letter=13.9in, A4=14.3in) ; No ; E Ink Fina ;  ; 700g ; 1200 × 1600 ; 150ppi ; Unknown ; Unknown ; Wi-Fi ; Unknown ; Unknown ; 16 GB ; up to  64 GB ; Unknown ; Unknown ; Yes 
 PocketBook ; PocketBook CAD Reader Flex ; 2014 ; 13.3in (letter=13.9in, A4=14.3in) ; No ; E Ink Mobius ;  ; 700g ; 1200 × 1600 ; 150ppi ; Unknown ; Unknown ; Wi-Fi ; Unknown ; Unknown ; 8 GB ; up to  64 GB ; Unknown ; Unknown ; Yes 
 PocketBook ; PocketBook 360 Plus ; 2011 ; 5in ; No ; E Ink ;  ; 150g (5.3oz) ; 600 × 800 ; 200ppi ; No ; Unknown ; Wi-Fi ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Pro 912 ; 2011 ; 9.7in ; No ; E Ink ;  ; 565g (20oz) ; 825 × 1200 ; 150ppi ; yes ; Unknown ; Wi-Fi, Bluetooth ; Yes ; Yes ; 2 GB  (1.2 GB) ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Touch ; 2011 ; 6in ; No ; E Ink Pearl ;  ; 195g (6.9oz) ; 600 × 800 ; 167ppi ; yes ; Unknown ; Wi-Fi, Bluetooth, UMTS + GPRS ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Basic New ; 2012 ; 6in ; No ; E Ink ;  ; 180g (6.3oz) ; 600 × 800 ; 167ppi ; No ; Unknown ; ? ; ? ; Yes ; 2 GB ; up to 32 GB ; Yes ; Yes ; Unknown 
 reMarkable ; reMarkable ; 2017 pre-order ; 10.3in (A5=10.1in) ; No ; E Ink Carta CANVAS ; 256 x 177 x 6.7mm (10.1 x 6.9 x .26in) ; 350g (0.77lb) ; 1404 x 1872 ; 226ppi ; Yes ; Yes ; WiFi ; No ; Yes ; 8 GB ; No ; No ; PDF and ePUB ; Beta 
 Sony ; DPT-RP1 ; 2017 ; 13.3in (letter=13.9in, A4=14.3in) ; No ; E Ink Carta ;  ; 349g (12.3oz) ; 1650 x 2200 ; 207ppi ; Yes ; No ; Wi-Fi b/g/n Bluetooth NFC ; No ; Yes ; 16 GB ; No ; Yes ; PDF only ; Yes 
 TrekStor ; Pyrus ; 2012 ; 6in ; No ; Digital Ink ;  ; 216g (7.6oz) ; 600 × 800 ; 167ppi ; No ; Yes, both sides ; No ; No ; Yes ; 2 or 4 GB ; Yes ; no ; Unknown ; Unknown 
 TrekStor ; Pyrus 2 LED ; 2013 ; 6in ; No ; E Ink Pearl ;  ; 205g (7.2oz) ; 600 × 800 ; 167ppi ; Yes ; yes ; No ; No ; Yes ; 2 GB ; Yes ; no ; Unknown ; Unknown 
 TrekStor ; Pyrus mini ; 2013 ; 4.3in ; No ; Digital Ink ;  ; 111g (3.9oz) ; 600 × 800 ; 233ppi ; No ; yes ; No ; No ; Yes ; 2 GB ; Yes ; no ; Unknown ; Unknown 
 txtr ; beagle ; 2013 ; 5in ; No ; E Ink ;  ; 128g (4.5oz) ; 600 x 800 ; 200ppi ; No ; Unknown ; Bluetooth ; no ; no ; 5 books, up to 4 GB ; no ; no ; yes ; no 
 Various private labels ;   6", 4:3, Capacitive touch, EPD AUO+SiPix 16 grayscale Contrast Ratio: 6:1, Whiteness: 30% (w/ touch)  ; varies ; 6in ; No ; SiPix ;  ; 240g (8.5oz) ; 600 × 800 ; 167ppi ; Yes ; Unknown ; Wi-Fi ; yes* ; Yes ; 2 GB ; SDHC ; Yes ; Unknown ; No 
Fidibook ;Hannah F1 Wi-Fi ;2018 ;6 in ;align=center ;E Ink ;159.5 x 118 x 8 mm ;190 g ;1024 x 758  ;212 ppi ;align=center ;align=center ;Wi-Fi ;align=center ;align=center ;8 GB ;Up to 16 GB ;align=center ;align=Center ;align=Center 
 Maker ; Model ; Intro year ; Screen size  (inch) ; Self-lit ; Screen type ; Dimensions (HxWxD) ; Weight ; Screen pixels ; PPI ; Touch screen ; Button for Page-turn ; Wireless network ; Text-to-speech ; Folders ; Internal storage ; micro SDHC ; Web browser ; Library DRM compatible ; USB peripherals 
