Client ;Developer ;First public release ;Monthly active users ;Registration requirement ;License ;Operating system ;Operating system ;Operating system ;Operating system ;Operating system ;Operating system ;E2EE 2-user chat ;E2EE group chat ;File transfer ;Voice recording ;Client ;Voice chat ;Video chat ;Read receipts ;Editing sent messages ;Deleting sent messages ;Custom  emoji ;Stickers ;Self-destructing messages ;Lock screen ;Screenshot protection (Android only)[1] ;App screenshot notification ;User screenshot notification[2] ;Local encrypted ;Themes / skins ;Plugins ;Peer-to-peer text chat ;Open source servers ;Federated servers ;Privacy law compliant ;Client 
Kadu ;Kadu Team ;08 ;  ; ;GPLv2 ;yes ;yes ;yes ;no ;no ;no ;no ;no ;yes ;no  ;Kadu ;yes ;no  ; ; ;  ;yes  ; ; ; ;? ;? ;? ;? ;yes ;yes ;no  ; ; ;no ;Kadu 
KakaoTalk ;Kakao Corp. ;18 ;49 million (2018) ; ;Proprietary Freeware ;yes ;yes ;no ;no ;yes ;yes ;Optional ;Optional ;yes  ; ;KakaoTalk ; ; ; ; ; ;no ; ; ; ;? ;? ;? ;? ; ; ;no ;no  ;no  ;no ;KakaoTalk 
Keybase ;Keybase ;February 8, 2017,  8 years ago ; ;Nothing required ;New BSD License ;yes ;yes ;yes ;no, partial ;yes ;yes ;yes ;yes ;yes ;no ;Keybase ;no ;no ;yes ;yes ;yes ;yes ;no ;yes ; ;yes, on by default but optional ;no ;no ;? ;yes, only 2 official skins ;no ;no ;no ;no ;yes ;Keybase 
Kik Messenger ;Medialab ;10 ;15 million (2017) ;Email ;Proprietary Freemium adware ;no ;no ;no ;no ;yes ;yes ;no ;no ;yes ; ;Kik Messenger ; ; ; ; ; ;yes  ; ; ; ;? ;? ;? ;? ;yes ; ;no ;no  ;no  ; ;Kik Messenger 
Line ;LINE Corporation ;March 2012 ;203 million (2018) ;Phone number ;Proprietary Freemium ;yes ;yes ;no ;no ;yes ;yes ;partial ;yes ;yes ;yes  ;Line ;yes ;yes  ;yes ;no  ;partial ;no ;yes ;no ;no ;? ;? ;? ;? ;yes ;yes ;no ;no  ;no  ;no ;Line 
Mattermost ;Mattermost Inc ;2015 ; ; ;AGPLv3 ;yes ;yes ;yes ;yes ;yes ;yes ;no ;no ;yes ;yes2Plug-in ;Mattermost ;yes2Plug-in ;yes2Plug-in ;no ;yes ;yes ;yes ;no ;no ;no ;? ;? ;? ;? ;yes ;yes ;no ;yes ;no ;yes ;Mattermost 
MCabber ;Mikael Berthe ;07 ;  ; ;GPL ;no ;yes ;yes ;no ;no ;no ;no ;no ;no ;no  ;MCabber ;no ;no  ; ; ; ;no ; ; ; ;? ;? ;? ;? ; ; ;no  ; ; ;no ;MCabber 
Messages ;Apple Inc. ;25 ;  ; ;Part of macOS and iOS ;no ;yes ;no ;no ;no ;yes ;Optional ;Optional ;yes ;  ;Messages ;yes ;yes  ; ; ; ;no ; ;no ;no ;? ;? ;? ;? ;no ;no ;no ;n/a  ;n/a  ; ;Messages 
Movim ;Timothée Jaussoin ;03 ;  ;Nothing required ;AGPLv3 ;yes ;yes ;yes ;yes ;yes ;yes ;no ;no ;yes ;no  ;Movim ;yes ;yes  ; ;yes ;yes ;no  ;Yes ;no ;? ;? ;? ;? ;no ;no  ;no ;no ;yes  ;yes  ; ;Movim 
Palringo ;Palringo Ltd ;2006 ; ;N/A ;Proprietary Freemium ;no ;no ;no ;no ;yes ;yes ;no ;no ;no ;no  ;Palringo ;yes ;no  ; ; ; ;no ; ; ; ;? ;? ;? ;? ;yes ;no ;no ;no  ; ; ;Palringo 
Paltalk ;AVM Software, Inc ;06 ; ;Email ;Proprietary Freeware ;yes ;yes ;no ;no ;yes ;yes ;no ;no ;yes ;  ;Paltalk ;yes ;yes  ; ; ; ;no ; ; ; ;? ;? ;? ;? ;yes ;no ;no ;no  ; ; ;Paltalk 
Pidgin ;Mark Spencer ;11 ;  ; ;GPL ;yes ;yes ;yes ;no ;no ;no ;Optional ;  ;no ;no  ;Pidgin ;partial ;yes  ;  ;yes  ;  ;yes  ; ; ; ;? ;? ;? ;? ;yes ;yes ;Optional ;yes  ;yes  ; ;Pidgin 
Psi ;Psi and Psi+ developers ;2001 ;  ; ;GPL ;yes ;yes ;yes ;no ;no ;no ;yes ;yes ;yes ;yes  ;Psi ;partial ;partial  ;  ;yes  ;  ;yes  ; ; ; ;? ;? ;? ;? ;yes ;yes ;no  ; ; ; ;Psi 
RetroShare ;Cyril Soler, Gioacchino Mazzurco ;{{Startdateandage|2006|  
