 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0136 ; Message archiving ; Deprecated ; Contrib.mod_archive - Message Archiving (XEP-0136) | ejabberd Community Site. Ejabberd.im. Retrieved on 2013-07-17. ; unk ; Contrib. ; No ; No ; No ; No ; Yes/Plugin ; Contrib. ; Yes 
 0137 ; Publishing SI Requests ; Deprecated ; No ; unk ; unk ; No ; Yes ; No ; No ; unk ; No ; No 
 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0138 ; Stream Compression ; Final ; Yes ; unk ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0148 ; Instant Messaging Intelligence Quotient ; Humorous ; unk ; unk ; unk ; No ; unfinished ; No ; No ; unk ; experimental ; Yes 
 0153 ; vCard-Based Avatars ; Historical Use ; Yes ; unk ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0154 ; User profile ; Deferred ; Contrib. ; unk ; unk ; No ; Yes ; No ; No ; unk ; No ; No 
 0157 ; Contact Addresses for XMPP Services ; Approved ; Yes ; unk ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Contrib. ; Yes 
 0158 ; CAPTCHA Forms ; Draft ; Yes ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0159 ; Spim-Blocking Control ; Deferred ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; No ; No 
 0160 ; Best Practices for Handling Offline Messages ; Approved ; Yes ; unk ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0161 ; Abuse Reporting ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0163 ; Personal Eventing Protocol ; Draft ; Yes ; unk ; unk ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
