 Client ; 386BSD ; BSD/OS (BSD/386, BSDI) ; FreeBSD, NetBSD, OpenBSD ; SunOS ; ULTRIX ; AIX ; A/UX ; HP-UX ; IRIX ; SCO OpenServer ; Solaris ; UnixWare ; Linux ; NeXTSTEP ; OpenVMS ; OSF/1 ; QNX ; Tru64 UNIX 
 rh| Linkinus ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Mibbit ; dunno ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; yes 
 rh| mIRC ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Nettalk ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Opera ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; no ; dropped ; no 
 rh| PIRCH ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| PJIRC ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| Quassel ; dunno ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| qwebirc ; dunno ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; yes 
 rh| rcirc ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| Smuxi ; dunno ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Snak ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Visual IRC ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| WeeChat ; dunno ; dunno ; yesgroup=Note ; dunno ; dunno ; dunno ; dunno ; yes ; partialgroup=Note ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; yes ; dunno 
 Client ; 386BSD ; BSD/OS (BSD/386, BSDI) ; FreeBSD, NetBSD, OpenBSD ; SunOS ; ULTRIX ; AIX ; A/UX ; HP-UX ; IRIX ; SCO OpenServer ; Solaris ; UnixWare ; Linux ; NeXTSTEP ; OpenVMS ; OSF/1 ; QNX ; Tru64 UNIX 
