 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 dotted=no ; font-variant-position  ; 34.0MDN: Web technology for developers: font kerningpublisher=Mozilla 
 dotted=no ; unicode-range ; 9.0 ; 12    ; 38.0publisher=Mozilla ; no ; no ; no 
 Text-section Text ; Text-section Text ; Text-section Text ; Text-section Text ; Text-section Text ; Text-section Text ; Text-section Text ; Text-section Text 
 CSS2 ; text-align ; 4.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; text-decoration ; yes ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; text-indent ; 3.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; text-transform ; 4.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; letter-spacing ; 4.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; word-spacing ; 8.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; white-space ; 8.0 ; 12    ; 1.9.1 ; 522 ; yes ; 2.1 
 dotted=no ; word-break ; Partial ; Partial ; 15.0publisher=Mozilla ; no ; no ; no 
 dotted=no ; line-break ; 11.0 ; 12 ; no ; no ; no ; no 
 dotted=no ; hyphens ; 10.0 ; 12 ; 6.0publisher=Mozilla (Only English) ; table-experimental ; no ; no 
 dotted=no ; word-wrap ; 5.0 ; 12 ; 1.9.1 ; 85 ; 4.3 ; 2.5 
 dotted=no ; overflow-wrap ; no ; no ; nopublisher=Mozilla ; no ; no ; no 
 dotted=no ; text-align-last ; Partial ; Partial ; 12.0publisher=Mozilla ; nopublisher=Webkit ; no ; no 
 dotted=no ; text-justify ; 5.5 ; 12 ; nopublisher=Mozilla ; no ; no ; no 
 dotted=no ; text-emphasis ; no ; no ; no ; no ; no ; no 
 dotted=no ; hanging-punctuation ; no ; no ; no ; nopublisher=Webkit ; no ; no 
 dotted=no ; hyphenate-character ; no ; no ; rowspan="8" no ; rowspan="8" no ; rowspan="8" no ; rowspan="8" no 
 dotted=no ; hyphenate-limit-zone ; 10.0 ; 12 
 dotted=no ;hyphenate-limit-chars ; 10.0 ; 12 
 dotted=no ; hyphenate-limit-lines ; 10.0 ; 12 
 dotted=no ; hyphenate-limit-last ; rowspan="4" no ; rowspan="4" no 
 dotted=no ; text-space-collapse 
 dotted=no ; text-spacing 
 dotted=no ; text-wrap 
 Text Decoration ; Text Decoration ; Text Decoration ; Text Decoration ; Text Decoration ; Text Decoration ; Text Decoration ; Text Decoration 
 dotted=no ; text-shadow ; 10.0 ; 12 ; 1.9.1 ; yes ; 3.4 ; 2.1 
 dotted=no ; text-decoration-style ; no ; no ; 36.0publisher=Mozillapublisher=Mozilla ; rowspan="4" nopublisher=Webkit ; no ; no 
 dotted=no ; text-decoration-color ; no ; no ; 36.0publisher=Mozillapublisher=Mozilla ; no ; no 
 dotted=no ; text-decoration-line ; no ; no ; 36.0publisher=Mozillapublisher=Mozilla ; no ; no 
 dotted=no ; text-decoration-skip ; no ; no ; no ; no ; no 
 dotted=no ; text-underline-position ; 11.0 ; 12 ; no ; no ; no ; no 
 dotted=no ; text-emphasis-style ; rowspan="4" no ; rowspan="4" no ; rowspan="4" no ; rowspan="4" no ; rowspan="4" no ; rowspan="4" no 
 dotted=no ; text-emphasis-color 
 dotted=no ; text-emphasis 
 dotted=no ; text-emphasis-position 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Writing Modes ; Writing Modes ; Writing Modes ; Writing Modes ; Writing Modes ; Writing Modes ; Writing Modes ; Writing Modes 
 CSS2 ; direction ; 5.0 ; 12    ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; unicode-bidi ; 5.0 ; 12    ; 1.0 ; 525 ; yes ; 1.0 
 dotted=no ; writing-mode ; 7.0title=CSS 3 Text: A Tale of writing-mode Woe ; 12 ; nopublisher=Mozilla ; Nightly Buildpublisher=WebKit ; no ; no 
 dotted=no ; text-combine-horizontal ; 11.0 ; 12.0 ; no ; no ; no ; no 
 dotted=no ; text-orientation ; no ; no ; no ; no ; no ; no 
 Tables ; Tables ; Tables ; Tables ; Tables ; Tables ; Tables ; Tables 
 CSS2 ; border-collapse ; 8.0 ; 12 ; 1.0 ; 125 ; yes ; 1.0 
 CSS2 ; border-spacing ; 8.0 ; 12 ; 1.0 ; 125 ; yes ; 1.0 
 CSS2 ; caption-side ; 8.0 ; 12 ; 1.4 ; 85 ; yes ; 1.0 
 CSS2 ; empty-cells ; 8.0 ; 12 ; 1.0 ; 125 ; yes ; 1.0 
 CSS2 ; table-layout ; 5.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 User interface ; User interface ; User interface ; User interface ; User interface ; User interface ; User interface ; User interface 
 CSS2 ; cursor ; 5.5 ; 12 ; 1.8 ; 125 ; yes ; Partial 
 CSS2 ; outline ; 8.0 ; 12 ; 1.8 ; 125 ; yes ; 1.0 
 CSS2 ; outline-color ; 8.0 ; 12 ; 1.8 ; 125 ; yes ; 1.0 
 CSS2 ; outline-style ; 8.0 ; 12 ; 1.8 ; 125 ; yes ; 1.0 
 CSS2 ; outline-width ; 8.0 ; 12 ; 1.8 ; 125 ; yes ; 1.0 
 dotted=no ; outline-offset ; no ; no ; 1.8 ; 125 ; 3.5 ; 2.1 
 dotted=no ; box-sizing ; 8.0 ; 12 ; 29.0publisher=Mozilla ; yespublisher=WebKit ; 3.3.2 ; 1.0 
 dotted=no ; resize ; no ; no ; 2.0publisher=Mozilla ; 525 ; no ; no 
 dotted=no ; appearance ; no ; 12 ; Experimental ; Experimental ; no ; no 
 dotted=no ; icon ; no ; rowspan="6" no ; no ; no ; no ; no 
 dotted=no ; nav-index ; no ; no ; no ; no ; 2.1 
 dotted=no ; nav-up ; no ; no ; no ; no ; 2.1 
 dotted=no ; nav-right ; no ; no ; no ; no ; 2.1 
 dotted=no ; nav-down ; no ; no ; no ; no ; 2.1 
 dotted=no ; nav-left ; no ; no ; no ; no ; 2.1 
