 Maker ; Model ; Intro year ; End year ; Screen size (inch) ; Self-lit ; Screen type ; Screen model ; Weight ; Screen pixels ; Touch screen ; Wireless network ; Text-to-speech ; Folders ; Internal Storage ; Micro SDHC ; Web browser ; Library DRM compatible ; USB peripherals 
 Onyx Inc. ; BOOX i62 Touch Espresso ; 2011 ; 2013 ; 6in ; No ; eInk Pearl ;  ; 238g (8.4oz) ; 600x800 ; Yes (IR) ; Wi-Fi ; Yes ; Yes ; 4 GB ; Yes ; Yes ; No ; Yes 
 Onyx Inc. ; BOOX i62ML HD Angel Glow ; 2012 ; 2013 ; 6in ; Yes ; eInk ;  ; 238g (8.4oz) ; 758 × 1024 ; Yes (IR) ; Wi-Fi ; Yes ; Yes ; 4 GB ; Yes ; Yes ; No ; Yes 
 PocketBook ; PocketBook Pro 603 ; 2010 ; ? ; 6in ; No ; eInk ;  ; 280g (9.9oz) ; 600 × 800 ; Stylus ; Wi-Fi, Bluetooth, UMTS + GPRS ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Pro 602 ; 2010 ; ? ; 6in ; No ; eInk ;  ; 250g (8.8oz) ; 600 × 800 ; No ; Wi-Fi, Bluetooth ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Pro 903 ; 2010 ; 2011 ; 9.7in ; No ; eInk ;  ; 581g (20.5oz) ; 825 × 1200 ; Stylus ; Wi-Fi, Bluetooth, UMTS + GPRS ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 PocketBook ; PocketBook Pro 902 ; 2010 ; 2011 ; 9.7in ; No ; eInk ;  ; 530g (19oz) ; 825 × 1200 ; No ; Wi-Fi, Bluetooth ; Yes ; Yes ; 2 GB ; yes ; Yes ; Yes ; Unknown 
 Samsung ; Papyrus ; 2009 ; 2010 ; 5in ; No ; eInk ;  ; 184g (6.5oz) ; 600 × 800 ; Yes ; No ; Yes ; Unknown ; 512M ; No ; Unknown ; Yes ; Unknown 
 Samsung ; E6 ; 2010 ; 2011 ; 6in ; No ; eInk ;  ; 315g (11.1oz) ; 600 × 800 ; Stylus ; Wi-Fi, Bluetooth ; Yes ; Yes ; 2 GB (1.4 GB) ; micro SD ; limited ; Yes ; Unknown 
 Sony ; DPT-S1 ; 2014 ; 2016 ; 13.3in (letter=13.9in, A4=14.3in) ; No ; eInk Mobius ;  ; 357g (12.6oz) ; 1200 x 1600 ; Yes ; Wi-Fi b/g/n ; No ; Yes ; 4 GB ; Yes ; Yes ; PDF only ; Yes 
 Sony ; Sony Reader Pocket Edition PRS-300SC ; 2011 ; 2012 ; 5in ; No ; eInk Vizplex ;  ; 220g (7.8oz) ; 600 × 800 ; No ; No ; No ; Unknown ; 512 MB (350 MB) ; No ; No ; Yes ; Unknown 
 Sony ; Sony Reader Pocket Edition PRS-350 ; 2010 ; 2011 ; 5in ; No ; eInk Pearl ;  ; 155g (5.5oz) ; 600 × 800 ; Yes ; No ; No ; collections ; 2 GB (1.4 GB) ; No ; No ; Yes ; Unknown 
 Sony ; Sony Reader Touch Edition PRS-650 ; 2010 ; 2011 ; 6in ; No ; eInk ;  ; 215g (7.6oz) ; 600 × 800 ; Yes ; No ; No ; collections ; 2 GB (1.4 GB) ; SDHC, MSPro DUO ; No ; Yes ; Unknown 
 Sony ; Sony Reader Daily Edition PRS-900 ; 2009 ; 2011 ; 7.1in ; No ; eInk ;  ; 283g (10.0oz) ; 600 × 1024 ; Yes ; No ; No ; Unknown ; 2 GB ; SDHC,  MSPro DUO ; Unknown ; Yes ; Unknown 
 Sony ; Sony Reader Touch Edition PRS-600 ; 2009 ; 2010 ; 6in ; No ; eInk ;  ; 286g (10.1oz) ; 600 × 800 ; Yes ; No ; No ; Unknown ; 512 MB (380 MB) ; SDHC,  MSPro Duo ; No ; Yes ; Unknown 
 Sony ; Sony Reader Pocket Edition PRS-300 ; 2009 ; 2010 ; 5in ; No ; eInk ;  ; 220g (7.8oz) ; 600 × 800 ; No ; No ; No ; Unknown ; 512 MB (480 MB) ; No ; No ; Yes ; Unknown 
 Sony ; Sony Reader PRS-700 ; 2008 ; 2009 ; 6in ; Yes ; eInk ;  ; 283g (10.0oz) ; 600 × 800 ; Yes ; No ; Unknown ; Unknown ; 512 MB ; SDHC ; Unknown ; Yes ; Unknown 
 Sony ; Reader PRS-505 ; 2008 ; 2009 ; 6in ; No ; eInk ;  ; 250g (8.8oz) ; 600 × 800 ; No ; No ; No ; Unknown ; 256 MB, (192 MB) ; SD, MS ; No ; Yes ; Unknown 
 Sony ; Sony Reader PRS-500 ; 2006 ; 2008 ; 6in ; No ; eInk ;  ; 250g (8.8oz) ; 600 × 800 ; No ; No ; No ; No ; 92 MB ; SD ; No ; Yes ; Unknown 
 Sony ; Reader PRS-T1 ; 2011 ; 2012 ; 6in ; No ; eInk Pearl ;  ; 168g (5.9oz) ; 600 × 800 ; Yes (IR) ; Wi-Fi ; No ; Collections ; 2 GB (1.3 GB) ; Yes ; Yes ; Yes ; Unknown 
 Sony ; Reader PRS-T2 ; 2012 ; 2013 ; 6in ; No ; eInk Pearl ;  ; 167g (5.9oz) ; 600 × 800 ; 2-Point ; Wi-Fi ; No ; Collections ; 2GB (1.3GB) ; yes ; yes ; Yes ; Unknown 
 Sony ; Reader PRS-T3 ;2013 ;2014 ;6in ; No ;eInk Pearl ;  ;198g (6.9oz) ;758 x 1024 ; 2-Point ; Wi-Fi ; No ; Collections ;2GB (1.3GB) ; Yes ; Yes ; Yes ; Unknown 
 Tolino ; tolino shine ; 2013 ; 2015 ; 6in ; Yes ; E Ink Pearl ;  ; 183g (6.5oz) ; 758 × 1024 ; Yes ; Yes ; No ; Yes ; 4 GB (2 GB) ; Yes ; Yes ; Yes ; Unknown 
 Tolino ; tolino vision ; 2014 ; 2015 ; 6in ; Yes ; E Ink Carta ;  ; 178g ; 758 × 1024 ; Yes ; Wi-Fi ; No ; Yes ; 2 GB ; Yes ; Yes ; Yes ; Unknown 
 Tolino ; tolino vision 4 HD ; 2016 ; 2019 ; 6in ; Yes ; E Ink Carta ; ; 175g ; 1448 × 1072 ; Yes ; Wi-Fi (b/g/n) ; No ; Yes ; 8 GB (6 GB available for user) ; No ; Yes ; Yes ; Unknown 
Tolino ;Tolino Epos ;2017 ;2019 ;7.8in ;Yes ;E Ink Carta ; ;260g (9.2oz) ;1404 x 1872 ;Yes ;Wi-Fi ;No ;Yes ;8 GB ;No ;Yes ;Yes ; Unknown 
 TrekStor ; Pyrus maxi ; 2013 ; 2014 ; 8in ; No ; Digital Ink ;  ; 309g (10.9oz) ; 768 × 1024 ; No ; No ; No ; Yes ; 4 GB ; Yes ; no ; Yes ; Unknown 
 Wexler ; Flex ONE ; 2012 ; 2013 ; 6in ; No ; LG flex ;  ; 110g (3.9oz) ; 768 x 1024 ; no ; no ; no ; yes ; 8 GB ; no ; no ; no ; Unknown 
 Wexler ; WEXLER.BOOK E6003 ; 2012 ; ? ; 6in ; no ; eink ; ED060SC7(LF) ; 175g (5.7oz) ; 600 x 800 ; no ; no ; no ; yes ; 4 GB ; yes ; no ; no ; Unknown 
 Maker ; Model ; Intro year ; End year ; Screen size (inch) ; Self-lit ; Screen type ; Screen model ; Weight ; Screen pixels ; Touch screen ; Wireless network ; Text-to-speech ; Folders ; Internal Storage ; Micro SDHC ; Web browser ; Library DRM compatible ; USB peripherals 
